JOBID    PARTITION  NAME                                   USER              TIME_LEFT    TIME_LIMIT   START_TIME           ST  NODES  CPUS  NODELIST(REASON)
2014409  ai         mysql15                                zabali16          23:55:51     1-00:00:00   2020-11-26T20:00:43  CD  1      1     ai10
2014407  ai         mysql9                                 zabali16          23:54:52     1-00:00:00   2020-11-26T20:00:36  CD  1      1     ai10
2014405  ai         mysql4                                 zabali16          23:54:59     1-00:00:00   2020-11-26T20:00:12  CD  1      1     ai08
2014404  ai         mmalign10                              zabali16          23:55:38     1-00:00:00   2020-11-26T19:59:53  CD  1      10    ai14
2014403  ai         mmalign8                               zabali16          23:54:13     1-00:00:00   2020-11-26T19:59:50  CD  1      10    ai02
2014401  ai         mmalign14                              zabali16          23:54:24     1-00:00:00   2020-11-26T19:59:37  CD  1      10    ai12
2014400  ai         mysql8                                 zabali16          23:54:38     1-00:00:00   2020-11-26T19:59:33  CD  1      1     ai09
2014399  ai         mysql14                                zabali16          23:55:01     1-00:00:00   2020-11-26T19:59:22  CD  1      1     ai09
2014398  ai         mmalign2                               zabali16          23:55:33     1-00:00:00   2020-11-26T19:59:12  CD  1      10    dy02
2014397  ai         mmalign1                               zabali16          23:54:42     1-00:00:00   2020-11-26T19:59:09  CD  1      10    ai11
2014396  ai         mmalign13                              zabali16          23:53:06     1-00:00:00   2020-11-26T19:59:06  CD  1      10    ai10
2014395  ai         mmalign5                               zabali16          23:54:34     1-00:00:00   2020-11-26T19:59:03  CD  1      10    ai06
2014394  ai         mysql2                                 zabali16          23:54:09     1-00:00:00   2020-11-26T19:58:59  CD  1      1     ai10
2014393  ai         mysql1                                 zabali16          23:54:48     1-00:00:00   2020-11-26T19:58:54  CD  1      1     ai10
2014392  ai         mysql13                                zabali16          23:55:59     1-00:00:00   2020-11-26T19:58:52  CD  1      1     ai09
2014391  ai         mysql5                                 zabali16          23:54:55     1-00:00:00   2020-11-26T19:58:42  CD  1      1     ai08
2014390  ai         mmalign11                              zabali16          23:55:09     1-00:00:00   2020-11-26T19:58:24  CD  1      10    ai11
2014389  ai         mysql11                                zabali16          23:54:50     1-00:00:00   2020-11-26T19:58:08  CD  1      1     ai10
2014388  ai         mmalign3                               zabali16          23:54:05     1-00:00:00   2020-11-26T19:58:07  CD  1      10    ai10
2014386  ai         mmalign6                               zabali16          23:54:02     1-00:00:00   2020-11-26T19:58:04  CD  1      10    ai03
2014384  ai         mysql6                                 zabali16          23:55:26     1-00:00:00   2020-11-26T19:57:53  CD  1      1     ai08
2014385  ai         mysql3                                 zabali16          23:55:09     1-00:00:00   2020-11-26T19:57:53  CD  1      1     ai09
2014383  ai         mmalign7                               zabali16          23:52:45     1-00:00:00   2020-11-26T19:55:45  CD  1      10    ai03
2014382  ai         mysql7                                 zabali16          23:54:53     1-00:00:00   2020-11-26T19:55:31  CD  1      1     ai10
2014380  ai         mysql10                                zabali16          23:53:06     1-00:00:00   2020-11-26T19:55:10  CD  1      1     ai10
2014379  ai         mmalign15                              zabali16          23:54:26     1-00:00:00   2020-11-26T19:55:09  CD  1      10    ai06
2014377  ai         mmalign12                              zabali16          23:54:08     1-00:00:00   2020-11-26T19:54:53  CD  1      10    ai12
2014373  ai         mmalign9                               zabali16          23:53:16     1-00:00:00   2020-11-26T19:53:52  CD  1      10    ai10
2012851  mid        lammps_tst                             szarepakzad18     1-00:00:00   1-00:00:00   N/A                  PD  1      10    (AssocGrpNodeLimit)
2012852  mid        lammps_tst                             szarepakzad18     1-00:00:00   1-00:00:00   N/A                  PD  1      10    (AssocGrpNodeLimit)
2012853  mid        lammps_tst                             szarepakzad18     1-00:00:00   1-00:00:00   N/A                  PD  1      10    (AssocGrpNodeLimit)
2012854  mid        lammps_tst                             szarepakzad18     1-00:00:00   1-00:00:00   N/A                  PD  1      10    (AssocGrpNodeLimit)
2014433  ai         mysql13                                zabali16          23:59:55     1-00:00:00   2020-11-26T20:06:00  R   1      1     ai08
2014432  ai         mmalign8                               zabali16          23:59:47     1-00:00:00   2020-11-26T20:05:52  R   1      10    ai02
2014431  ai         mysql8                                 zabali16          23:59:32     1-00:00:00   2020-11-26T20:05:37  R   1      1     ai01
2014430  ai         mmalign14                              zabali16          23:59:26     1-00:00:00   2020-11-26T20:05:31  R   1      10    ai12
